archetyp,pytania,wzor_suma,zakres_sumy,wzor_procent,zakres_procent
Władca,"Q1, Q2, Q3, Q4",Q1 + Q2 + Q3 + Q4,0..20,(suma / 20) * 100,0..100
Bohater,"Q5, Q6, Q7, Q8",Q5 + Q6 + Q7 + Q8,0..20,(suma / 20) * 100,0..100
Mędrzec,"Q9, Q10, Q11, Q12",Q9 + Q10 + Q11 + Q12,0..20,(suma / 20) * 100,0..100
Opiekun,"Q13, Q14, Q15, Q16",Q13 + Q14 + Q15 + Q16,0..20,(suma / 20) * 100,0..100
Kochanek,"Q17, Q18, Q19, Q20",Q17 + Q18 + Q19 + Q20,0..20,(suma / 20) * 100,0..100
Błazen,"Q21, Q22, Q23, Q24",Q21 + Q22 + Q23 + Q24,0..20,(suma / 20) * 100,0..100
Twórca,"Q25, Q26, Q27, Q28",Q25 + Q26 + Q27 + Q28,0..20,(suma / 20) * 100,0..100
Odkrywca,"Q29, Q30, Q31, Q32",Q29 + Q30 + Q31 + Q32,0..20,(suma / 20) * 100,0..100
Czarodziej,"Q33, Q34, Q35, Q36",Q33 + Q34 + Q35 + Q36,0..20,(suma / 20) * 100,0..100
Towarzysz,"Q37, Q38, Q39, Q40",Q37 + Q38 + Q39 + Q40,0..20,(suma / 20) * 100,0..100
Niewinny,"Q41, Q42, Q43, Q44",Q41 + Q42 + Q43 + Q44,0..20,(suma / 20) * 100,0..100
Buntownik,"Q45, Q46, Q47, Q48",Q45 + Q46 + Q47 + Q48,0..20,(suma / 20) * 100,0..100
